,sighting,报道,citizen,officer,纬度,经度,city,nation,city_interpol,has_weapon,has_hat,has_jacket,behavior
738,1987-01-23,1987-03-09,Jenna Berger,Dana Parker,32.65246,51.67462,Isfahan,IR,Tehran,True,True,True,talkative
739,2008-01-24,2008-02-11,William Johnson,Carrie Boone,36.20389,127.08472,Nonsan,KR,Seoul,False,True,True,panicking
740,2011-04-15,2011-05-19,Kelly Ellis,Denise Johnson,16.0567,103.65309,Roi Et,TH,Bangkok,False,True,True,silent
741,2012-07-21,2012-09-06,Angela Mathis,Julia Cannon,36.6009,126.665,Hongseong,KR,Seoul,False,True,True,scared
742,1985-06-08,1985-07-27,Steven Kennedy,Timothy Maldonado,36.20389,127.08472,Nonsan,KR,Seoul,False,True,True,hostile
743,2006-12-01,2006-12-10,Marie Ortiz DDS,Brian Hickman,14.53767,46.83187,Ataq,YE,Aden,False,True,True,oblivious
744,1986-03-01,1986-04-13,Sarah Wagner,Erik Gibson,15.79408,104.1451,Yasothon,TH,Bangkok,False,True,True,scared
745,1990-07-28,1990-08-04,Natalie Johnson,Austin Williams,29.98869,122.20488,Zhoushan,CN,Shanghai,True,True,True,fleeing
746,2020-11-17,2021-01-01,Jessica Hodges,Alan Ford,20.88098,75.11937,Parola,IN,Kolkata,False,True,True,tense
747,1999-02-25,1999-04-04,Brandon Fox,Beth Cuevas,46.08333,122.08333,Ulanhot,CN,Shanghai,False,True,True,insulting
748,2003-01-15,2003-02-21,Leon Clark,Jessica Joseph,24.28859,116.11768,Meizhou,CN,Shanghai,False,True,True,happy
749,1995-05-14,1995-05-19,Matthew Robles,Richard Green,18.18158,76.03889,Osmanabad,IN,Kolkata,False,True,True,unhappy
750,1992-03-08,1992-04-23,Sharon Beard,Adam Irwin,5.4709,100.24529,Batu Feringgi,MY,Kuala Lumpur,True,False,True,injured
751,1990-01-17,1990-02-27,Brittney Nelson,Todd Garcia,12.37169,123.62494,Masbate,PH,Manila,False,False,True,sad
752,2007-05-30,2007-07-12,Leslie Haynes,Carrie Boone,23.18,88.58,Aistala,IN,Kolkata,False,True,False,lonely
753,1998-11-06,1998-11-15,Sydney Lewis,Hannah Palmer,37.1759,128.9889,T‚Äôaebaek,KR,Seoul,False,True,True,oblivious
754,2008-08-31,2008-09-13,Melanie Wilson,Christopher Sandoval,10.20898,123.758,Naga,PH,Manila,False,True,True,insulting
755,2007-11-06,2007-12-13,Jody Edwards,Michael Riddle,28.71271,77.656,Pilkhua,IN,Kolkata,False,True,False,worried
756,1992-03-30,1992-04-24,Sarah Olsen,Christina Krause,14.46693,75.92694,Davangere,IN,Kolkata,False,True,True,fleeing
757,2010-04-30,2010-06-21,Mackenzie Mejia,Jose Hunt,36.21544,65.93249,Sar-e Pul,AF,Kabul,False,False,True,paranoid
758,1998-04-26,1998-05-16,Melanie Chang,Vanessa Chapman,34.5624,38.28402,Tadmur,SY,Damascus,False,True,True,tense
759,2008-10-09,2008-11-02,Suzanne Gordon,John Turner,43.41949,77.0202,Otegen Batyra,KZ,Almaty,False,True,True,unhappy
760,1992-05-04,1992-05-07,Laura Cruz,Misty Young,17.34769,78.55757,Lal Bahadur Nagar,IN,Kolkata,False,True,True,evasive
761,2021-11-27,2021-12-04,Tonya Anderson,William Knight,34.86472,117.55417,Zaozhuang,CN,Shanghai,False,False,True,sad
762,1995-03-19,1995-04-27,Angel Taylor,Ashley Carr,27.0174,49.62251,Al Jubayl,SA,Riyadh,False,True,True,happy
763,1991-05-16,1991-06-10,Kimberly Smith DDS,John Carlson,37.65181,120.33063,Longgang,CN,Shanghai,True,False,True,accusatory
764,2019-01-19,2019-03-07,Hector Osborne,Courtney Thompson,46.08333,122.08333,Ulanhot,CN,Shanghai,False,False,True,talkative
765,2001-01-12,2001-01-24,Edward Sampson,Cristina Reynolds,23.1959,86.51499,Kenda,IN,Kolkata,False,False,True,over-complimenting
766,2004-01-27,2004-02-01,Deanna Estrada,Anita Gray,27.0174,49.62251,Al Jubayl,SA,Riyadh,False,False,True,happy
767,2005-10-07,2005-11-13,Karen Brown,Sonia Mcdaniel,58.7002,59.4839,Kachkanar,RU,Yekaterinburg,False,True,True,worried
768,1999-11-18,1999-12-01,Kayla Stafford,Joshua Curtis,-7.73379,113.69785,Besuki,ID,Jakarta,False,False,True,paranoid
769,1986-05-17,1986-05-25,Anthony Farrell,Daniel Moore,12.95629,78.27539,Robertsonpet,IN,Kolkata,False,True,True,happy
770,1988-01-20,1988-02-02,Katrina Jackson,Rebecca Snyder MD,26.2649,81.54855,Jais,IN,Kolkata,False,True,True,insulting
771,1992-05-13,1992-07-09,Hannah Collier,Jeffery Lee,24.81757,84.63445,Rafiganj,IN,Kolkata,False,True,True,scared
772,1996-06-18,1996-08-03,Sharon Garcia,Cassidy Brown,26.32293,91.00632,Barpeta,IN,Kolkata,True,False,True,fleeing
773,2008-12-30,2009-01-16,Scott Gomez,Dr. Gregory Gibson,30.21121,74.4818,Malaut,IN,Kolkata,False,True,True,confessing
774,1993-01-19,1993-02-19,John Lawson,Taylor Robinson,30.21121,74.4818,Malaut,IN,Kolkata,True,False,True,insulting
775,2009-01-12,2009-03-02,Elizabeth Mcintosh,Denise Kramer,36.75965,137.36215,Namerikawa,JP,Tokyo,False,False,True,accusatory
776,2009-05-21,2009-06-21,Victoria White,David Zamora,47.46657,84.87144,Zaysan,KZ,Almaty,False,False,True,complaining
777,2016-11-23,2016-12-24,Daniel Mendez,Austin Summers,36.6009,126.665,Hongseong,KR,Seoul,False,True,True,injured
778,1994-09-16,1994-09-23,Ricky Banks,Megan Livingston,35.20889,111.73861,Changzhi,CN,Shanghai,False,False,True,scared
779,2014-08-14,2014-09-20,Mrs. Angela Ross DDS,Garrett Moore,12.04161,75.35927,Talipparamba,IN,Kolkata,False,True,True,complaining
780,2004-03-14,2004-04-18,Timothy Collier,Jennifer Cook,31.92923,34.86563,Ramla,IL,Jerusalem,False,True,True,injured
781,2004-08-31,2004-10-16,Casey Shields,Kerry Buck,35.95664,36.7138,Binnish,SY,Damascus,True,False,True,confessing
782,1988-12-05,1988-12-25,Joshua Carter,Amanda Brown,34.85,117.33333,Taozhuang,CN,Shanghai,False,True,True,fleeing
783,2016-08-31,2016-10-12,Laurie Brooks,Holly Chapman,58.7002,59.4839,Kachkanar,RU,Yekaterinburg,False,False,False,unhappy
784,1990-01-10,1990-02-11,Robert Horn,Leslie Curtis,31.39547,34.75699,Rahat,IL,Jerusalem,False,True,True,tense
785,2019-10-11,2019-10-22,Mr. Kyle Wise MD,Eric French,25.80565,68.49143,Bhit Shah,PK,Karachi,True,True,True,happy
786,2000-07-07,2000-07-31,Robert Love,Adam Smith,51.4781,57.3552,Kuvandyk,RU,Yekaterinburg,False,True,True,injured
787,2015-04-16,2015-05-16,Tony Campbell,William Joseph,27.85,112.9,Xiangtan,CN,Shanghai,True,True,True,oblivious
788,2010-08-05,2010-09-07,Stephanie Harris,Ashley Davis,26.76628,83.36889,Gorakhpur,IN,Kolkata,False,True,True,oblivious
789,2018-04-06,2018-05-23,Mark Jordan,Jeffrey Johnson,27.52948,68.75915,Khairpur Mir‚Äôs,PK,Karachi,False,False,True,hostile
790,1988-10-16,1988-11-20,Brandon Hernandez,Stephen Mills,30.81383,75.16878,Moga,IN,Kolkata,False,True,True,paranoid
791,2000-11-10,2000-12-17,Jeffrey Mitchell,Valerie Griffin,33.3213,130.94098,Hita,JP,Tokyo,False,False,True,oblivious
792,1986-01-18,1986-01-26,John Palmer,Amy Bray,26.44931,91.61356,Rangia,IN,Kolkata,True,False,True,confessing
793,2008-12-08,2009-01-11,Brian Murphy,Nicole Scott,-7.57897,112.23109,Diwek,ID,Jakarta,False,True,True,hostile
794,1998-01-29,1998-02-19,Robin Sanders,Richard Harris,33.86419,48.26258,Aleshtar,IR,Tehran,False,False,True,insulting
795,1995-04-06,1995-04-13,Christina Newman,Hannah Lindsey,16.68911,98.50893,Myawadi,MM,Yangon,False,True,False,silent
796,2015-11-18,2016-01-01,Stephanie Brady,Michelle Green,21.53889,71.57737,Gariadhar,IN,Kolkata,False,False,True,fleeing
797,2005-04-01,2005-05-26,Kelsey Compton,Tanya Conley,32.55531,76.12647,Chamba,IN,Kolkata,False,False,True,sad
798,2004-09-24,2004-11-12,Sharon Davis,Patricia Hall,13.44581,101.18445,Phanat Nikhom,TH,Bangkok,False,False,True,complaining
799,2015-10-02,2015-10-03,Jennifer Choi,Beth Cuevas,34.61667,135.6,Yao,JP,Tokyo,False,True,False,tense
800,2009-06-09,2009-06-20,Jessica Anderson,Garrett Martinez,12.04161,75.35927,Talipparamba,IN,Kolkata,False,False,True,scared
801,2014-11-07,2015-01-05,Deborah Atkins,Susan Thomas,35.48199,137.02166,Minokamo,JP,Tokyo,False,True,True,complaining
802,2011-07-17,2011-08-06,Amanda Fleming,Emily Mccoy,27.9247,78.40102,Chharra,IN,Kolkata,False,False,True,injured
803,2004-09-25,2004-10-04,Meagan Wilson,Linda Finley,38.40917,112.73333,Xinzhou,CN,Shanghai,False,True,True,evasive
804,2009-09-12,2009-09-21,Sara Chambers,Mark Williams,25.80565,68.49143,Bhit Shah,PK,Karachi,False,False,True,worried
805,2021-11-13,2021-12-07,Lindsay Hansen,Ronnie Anthony,-3.5403,118.9707,Majene,ID,Makassar,False,True,False,silent
806,1989-12-16,1990-01-03,Nicholas Thompson,Shawn Huang,32.50611,120.14278,Jiangyan,CN,Shanghai,False,False,True,silent
807,2010-05-04,2010-06-08,Kayla White,Jessica Duran,4.02219,101.02083,Teluk Intan,MY,Kuala Lumpur,False,True,True,tense
808,2009-05-17,2009-05-30,Devin Dean,Ronnie Anthony,32.50611,120.14278,Jiangyan,CN,Shanghai,False,False,True,injured
809,2013-06-22,2013-06-25,Amanda James,Holly Chapman,31.78336,35.23388,East Jerusalem,PS,Hebron,False,False,True,confessing
810,1988-08-28,1988-09-06,Melanie Moore,Jason Mccarthy,44.35056,142.45778,Nayoro,JP,Tokyo,False,True,True,over-complimenting
811,2006-04-01,2006-04-24,Karen Brown,Kathy Meadows,31.82539,72.54064,Sillanwali,PK,Karachi,False,True,True,complaining
812,1987-03-28,1987-04-01,Thomas Mathews,Gabriel Jones,28.92694,78.23456,Bachhraon,IN,Kolkata,False,True,True,sad
813,2008-01-20,2008-03-13,Matthew Edwards,Andrew Miranda,35.8,137.23333,Gero,JP,Tokyo,False,True,True,paranoid
814,2007-03-03,2007-03-15,Lisa Robinson,Justin Edwards,26.2649,81.54855,Jais,IN,Kolkata,False,True,True,complaining
815,1992-11-05,1992-11-16,Hailey Patterson,William Zuniga,13.8196,100.04427,Nakhon Pathom,TH,Bangkok,False,True,True,confessing
816,2005-03-30,2005-05-12,Joanna Jones,Megan West,36.53333,136.61667,Nonoichi,JP,Tokyo,False,False,True,talkative
817,2002-03-29,2002-05-22,Michael Johnston,Jennifer George,27.9247,78.40102,Chharra,IN,Kolkata,False,True,True,scared
818,2020-05-14,2020-06-16,Victoria Flowers,Jordan Torres,2.2139,102.3278,Kampung Ayer Molek,MY,Kuala Lumpur,False,False,False,paranoid
819,1992-06-17,1992-07-03,George Nielsen,Elizabeth Cooper,23.02677,113.13148,Foshan,CN,Shanghai,False,False,True,complaining
820,2006-05-10,2006-06-30,Megan Ball MD,Edward Anderson,35.82756,137.95378,Ina,JP,Tokyo,False,False,True,happy
821,2010-11-20,2010-11-23,Sara Ross,Misty Young,44.85278,65.50917,Kyzylorda,KZ,Qyzylorda,True,True,True,silent
822,2003-04-12,2003-04-16,Mr. Anthony Miller MD,Jimmy Patel,-6.48167,106.85417,Cibinong,ID,Jakarta,True,False,True,lonely
823,1997-12-15,1998-01-24,Eric Davis,Matthew Brown,41.09246,45.36561,Qazax,AZ,Baku,False,True,True,friendly
824,2017-02-17,2017-03-15,Derrick Phillips,David Harrington,27.85,112.9,Xiangtan,CN,Shanghai,False,True,True,lonely
825,2013-11-22,2013-12-26,Timothy Mason,Brooke Crawford,54.48147,53.47103,Oktyabr‚Äôskiy,RU,Yekaterinburg,False,True,True,fleeing
826,2014-11-24,2014-11-30,Rachel Rowland,Maurice Mccarthy,13.8196,100.04427,Nakhon Pathom,TH,Bangkok,False,True,True,oblivious
827,2008-12-13,2008-12-13,Charles Patterson,Allen Baker,34.4833,136.84186,Toba,JP,Tokyo,False,True,True,talkative
828,1986-01-16,1986-02-09,Amanda Owens,Joseph Nguyen,22.4711,88.1453,Pujali,IN,Kolkata,False,True,True,paranoid
829,2013-02-07,2013-02-26,Nicholas Robertson,Marie Hill,26.9423,68.11759,Tharu Shah,PK,Karachi,False,True,True,hostile
830,1999-06-08,1999-07-08,Joshua Greer,Ronald Friedman,37.30553,120.82747,Zhuangyuan,CN,Shanghai,False,True,True,complaining
831,1995-07-06,1995-07-21,Michael Rowland,David Wagner,31.64615,120.74221,Changshu City,CN,Shanghai,False,True,True,insulting
832,2001-05-30,2001-06-12,Kyle Sutton,Mrs. Kristin Lopez MD,10.10649,76.35484,Alwaye,IN,Kolkata,True,True,True,fleeing
833,1986-08-25,1986-09-15,Steve Taylor,Angelica Chan,29.22254,79.5286,Haldwani,IN,Kolkata,False,True,True,accusatory
834,1987-03-22,1987-04-01,Rachel Moody,Stephanie Taylor,27.92333,118.53333,Pucheng,CN,Shanghai,True,True,True,scared
835,2001-05-03,2001-06-25,Cheryl Welch,Lindsey Hoover,23.73333,114.68333,Heyuan,CN,Shanghai,False,False,True,lonely
836,2014-10-30,2014-12-05,Brandon Valentine,Daniel Moore,6.25947,102.05461,Tak Bai,TH,Bangkok,False,True,True,panicking
837,2013-04-07,2013-04-23,Stephen Curry,Shelley Sheppard,2.2139,102.3278,Kampung Ayer Molek,MY,Kuala Lumpur,False,True,True,talkative
838,2007-06-06,2007-07-06,Meredith Cole,Jeffrey Freeman,11.50526,77.23826,Sathyamangalam,IN,Kolkata,False,True,True,unhappy
839,1987-12-07,1987-12-20,Christopher Johns,Beth Cuevas,31.92923,34.86563,Ramla,IL,Jerusalem,False,True,True,insulting
840,1989-09-30,1989-11-02,Sylvia Rodgers,Katelyn Cook,12.97389,123.99333,Sorsogon,PH,Manila,False,True,True,unhappy
841,2013-07-30,2013-08-15,Brian Brown,Kerri Clay,55.75556,60.70278,Ozersk,RU,Yekaterinburg,False,True,True,unhappy
842,2017-05-15,2017-05-26,Angela Patterson,Tracy Young,4.88441,101.96857,Gua Musang,MY,Kuala Lumpur,False,False,True,insulting
843,1990-08-02,1990-09-13,James Gilbert,Brian Torres,25.75728,75.37991,Deoli,IN,Kolkata,False,False,True,over-complimenting
844,1990-07-07,1990-07-24,Melissa Carter,Angela Strickland,-7.73379,113.69785,Besuki,ID,Jakarta,False,True,True,unhappy
845,1998-10-14,1998-10-23,Dominique Miller,Gregory Moore,1.6561,103.6032,Kulai,MY,Kuala Lumpur,False,True,True,sad
846,1989-07-11,1989-08-08,Brian Brown,Kayla Klein,27.0174,49.62251,Al Jubayl,SA,Riyadh,False,True,True,talkative
847,2016-06-02,2016-06-13,Karen Tanner,Lucas Kirk,-8.99167,125.21972,Maliana,TL,Dili,False,True,True,worried
848,2005-01-22,2005-02-06,Cody Acosta,Adam Irwin,8.56697,123.33471,Dipolog,PH,Manila,False,True,True,panicking
849,1998-02-09,1998-03-30,Linda Richards,Mr. Frederick Bryant,36.75965,137.36215,Namerikawa,JP,Tokyo,False,True,True,talkative
850,2004-04-08,2004-05-02,Peter Baker,Joseph Moore DVM,45.35,126.28333,Shuangcheng,CN,Shanghai,False,True,True,talkative
851,1996-12-09,1997-01-09,Kristen White,Kayla Klein,34.08565,74.80555,Srinagar,IN,Kolkata,True,True,True,worried
852,2018-02-15,2018-03-18,Christopher Taylor,Gabriel Jones,31.71667,73.38333,Sangla Hill,PK,Karachi,False,True,True,complaining
853,1990-01-08,1990-02-16,Eric Moses,Mary Scott,28.98002,77.70636,Meerut,IN,Kolkata,False,True,True,silent
854,1985-09-11,1985-09-27,Kathleen Boyd,Kevin Martin,13.44581,101.18445,Phanat Nikhom,TH,Bangkok,False,True,True,lonely
855,2013-03-26,2013-03-31,Ashley Campbell,James Burnett,12.25282,79.41727,Gingee,IN,Kolkata,False,True,True,hostile
856,2005-08-05,2005-08-26,Gabriel Davis,Jared Reid,55.75556,60.70278,Ozersk,RU,Yekaterinburg,False,False,False,out-of-control
857,2022-04-22,2022-05-12,Carlos Miller,Christopher Bell,33.4425,129.96972,Karatsu,JP,Tokyo,True,True,True,tense
858,2012-10-18,2012-12-12,Ronald Hubbard,Christopher Sandoval,34.81667,137.4,Toyokawa,JP,Tokyo,False,True,True,scared
859,1992-03-28,1992-05-25,Stacy Gilbert,Randy Simmons,23.1959,86.51499,Kenda,IN,Kolkata,False,True,True,panicking
860,1988-11-21,1988-12-22,Erika Hardy,Bryce Alvarado,22.88783,84.13864,Jashpurnagar,IN,Kolkata,False,True,True,over-complimenting
861,2000-10-22,2000-12-10,Kelly Porter,Tammy Bruce,53.14657,140.72287,Nikolayevsk-on-Amure,RU,Vladivostok,False,False,True,injured
862,2021-01-09,2021-01-22,Taylor Norton,Karen Nguyen,25.13915,73.06784,Sheoganj,IN,Kolkata,False,True,True,paranoid
863,1987-05-26,1987-07-07,Brian Carlson,Laura Santana,9.3337,122.8637,Santa Catalina,PH,Manila,False,True,True,lonely
864,2012-04-27,2012-05-29,Debra Williams,Garrett Moore,47.83333,59.6,Shalqar,KZ,Aqtobe,False,False,True,evasive
865,2014-12-22,2015-01-08,Jason Bradley,Denise Davis,19.30157,72.85107,Bhayandar,IN,Kolkata,True,True,True,silent
866,2013-10-11,2013-11-09,Kathleen Woods,Nathaniel Jackson,34.86472,117.55417,Zaozhuang,CN,Shanghai,False,False,True,silent
867,2011-08-20,2011-09-25,Laura Grimes,Ashley Carr,24.28859,116.11768,Meizhou,CN,Shanghai,False,True,True,insulting
868,1988-03-28,1988-05-14,Michael Sandoval,Bryce Alvarado,23.5654,119.58627,Magong,TW,Taipei,True,True,True,injured
869,2006-07-26,2006-09-17,James Wright,James Brock,27.52948,68.75915,Khairpur Mir‚Äôs,PK,Karachi,False,True,True,out-of-control
870,2014-07-23,2014-09-08,John Strickland,Patricia Williams,-1.6,103.61667,Jambi City,ID,Jakarta,False,True,True,over-complimenting
871,2002-03-27,2002-05-05,Regina Martin,Isabel Webb,36.20389,127.08472,Nonsan,KR,Seoul,False,True,True,friendly
872,1992-12-12,1992-12-27,Lawrence Sawyer,Stephanie Brooks,26.32293,91.00632,Barpeta,IN,Kolkata,False,True,False,sad
873,2000-06-14,2000-06-27,David Whitaker,Allen Lawrence,10.10649,76.35484,Alwaye,IN,Kolkata,False,False,True,hostile
874,2004-10-20,2004-11-10,Jeremy Berry,Cynthia Carr,21.34222,71.30633,Kundla,IN,Kolkata,False,False,True,evasive
875,2010-08-19,2010-10-11,Jennifer Rangel,Matthew Wagner,32.54278,111.50861,Danjiangkou,CN,Shanghai,False,False,True,happy
876,2008-12-26,2009-02-22,Vanessa Willis,Annette Barrett,37.19723,122.05228,Tianfu,CN,Shanghai,True,True,True,happy
877,1999-12-05,2000-01-04,Kristi King,Gina Howard,55.8736,85.4265,Yashkino,RU,Novokuznetsk,False,True,True,silent
878,2012-10-05,2012-10-16,Sean Grant,Michael Webb,35.82756,137.95378,Ina,JP,Tokyo,False,False,True,insulting
879,1996-11-02,1996-11-11,Michael White,Jacob Carlson,36.53333,136.61667,Nonoichi,JP,Tokyo,False,True,True,panicking
880,2016-11-27,2016-12-27,Heather Esparza,Christopher Morris,10.10649,76.35484,Alwaye,IN,Kolkata,False,False,True,tense
881,2012-07-05,2012-07-26,Margaret Ward,Jeffrey Johnson,15.79408,104.1451,Yasothon,TH,Bangkok,False,True,True,unhappy
882,1993-11-27,1993-12-09,Thomas Carpenter,Charlene Mccormick,37.30553,120.82747,Zhuangyuan,CN,Shanghai,False,True,True,happy
883,1994-05-02,1994-05-05,Anthony Dickson,Ray Hall,14.64056,104.64992,Kantharalak,TH,Bangkok,False,True,True,confessing
884,2009-04-22,2009-05-10,Margaret Ryan,Kimberly Mills,17.30858,97.01124,Kyaikto,MM,Yangon,False,True,True,fleeing
885,1995-02-05,1995-03-10,Raymond King,Robert Arellano,16.06213,76.0586,Hungund,IN,Kolkata,False,True,True,oblivious
886,2006-09-09,2006-09-11,Paul Le,Sonia Mcdaniel,32.87533,71.57118,Daud Khel,PK,Karachi,False,False,True,insulting
887,1990-01-22,1990-02-15,Victoria Gutierrez,Jeremy Moran,23.9028,89.11943,Kushtia,BD,Dhaka,False,True,True,over-complimenting
888,1988-08-08,1988-09-30,Tina Nichols,Edward Anderson,10.12268,77.54372,Periyakulam,IN,Kolkata,False,True,True,confessing
889,2017-02-16,2017-03-19,Nicole Schroeder,John Hayes,47.83333,59.6,Shalqar,KZ,Aqtobe,False,True,True,sad
890,1985-05-30,1985-06-07,Julie Shaw,Tiffany Patrick,-7.57897,112.23109,Diwek,ID,Jakarta,False,True,False,panicking
891,1992-04-09,1992-06-01,Jennifer Ward,Brendan Love,35.30889,139.55028,Kamakura,JP,Tokyo,False,True,True,hostile
892,1999-03-24,1999-04-19,Michelle Powers,Jeremy Moran,33.37526,74.3092,Rajaori,IN,Kolkata,False,True,True,happy
893,2018-09-19,2018-11-15,Matthew Franklin,Amy Moore,41.09246,45.36561,Qazax,AZ,Baku,False,False,True,confessing
894,1999-01-06,1999-02-04,Teresa Daniels,Robert Arellano,34.85,117.33333,Taozhuang,CN,Shanghai,False,False,True,injured
895,1987-04-17,1987-05-02,David Avila,Leslie Curtis,34.61667,135.6,Yao,JP,Tokyo,False,False,True,lonely
896,2002-02-23,2002-04-01,David Monroe,Brian Velasquez,43.82634,144.09638,Motomachi,JP,Tokyo,False,True,True,injured
897,2013-10-09,2013-10-31,Ronnie Craig,Donna Martin,35.30889,139.55028,Kamakura,JP,Tokyo,False,True,True,panicking
898,2012-01-19,2012-02-24,Carrie Baker,Dawn Lopez,19.21667,73.08333,Dombivli,IN,Kolkata,False,True,True,panicking
899,1993-10-13,1993-10-26,Michael Thompson,William Joseph,-7.73379,113.69785,Besuki,ID,Jakarta,False,True,True,evasive
900,1999-08-13,1999-09-01,Catherine Mclaughlin,Christina Krause,33.86419,48.26258,Aleshtar,IR,Tehran,False,True,True,oblivious
901,2008-12-24,2009-01-26,Debra Kline,Marie Hill,34.9,137.5,Shinshiro,JP,Tokyo,False,False,True,paranoid
902,1995-01-13,1995-02-02,Lindsay Munoz,Michael Tate,2.2139,102.3278,Kampung Ayer Molek,MY,Kuala Lumpur,False,True,True,complaining
903,1993-12-28,1994-02-22,Grant Murphy,Samuel Cunningham,18.87813,72.93924,Uran,IN,Kolkata,False,False,True,paranoid
904,1994-03-12,1994-05-08,Shawna Hayes,Justin White,6.25947,102.05461,Tak Bai,TH,Bangkok,False,True,True,insulting
905,2012-06-23,2012-07-26,Christopher Morris,Christina Krause,32.65246,51.67462,Isfahan,IR,Tehran,False,True,True,silent
906,1997-02-07,1997-03-11,Patrick Colon,Sandra Ramos,55.75556,60.70278,Ozersk,RU,Yekaterinburg,False,True,True,complaining
907,2014-05-19,2014-06-02,Julie Williams,David Strong,-1.26753,116.82887,Balikpapan,ID,Makassar,False,True,True,paranoid
908,2010-09-01,2010-09-02,Jose Gonzales,Mr. Frederick Bryant,-1.26753,116.82887,Balikpapan,ID,Makassar,False,True,True,happy
909,2006-03-25,2006-04-23,Gina George,Destiny Peterson,30.21121,74.4818,Malaut,IN,Kolkata,False,True,True,happy
910,2006-12-05,2007-01-26,John Hurley,Samuel Cunningham,37.30553,120.82747,Zhuangyuan,CN,Shanghai,False,True,True,confessing
911,1995-10-09,1995-11-25,Christine Murray,Melissa Ellis,45.75279,130.57211,Boli,CN,Shanghai,False,False,True,confessing
912,2009-10-03,2009-11-13,Rebecca Camacho,Evan Perkins,18.18158,76.03889,Osmanabad,IN,Kolkata,False,False,True,hostile
913,1999-01-02,1999-01-19,Raymond Lamb,Alvin Alvarez,29.22254,79.5286,Haldwani,IN,Kolkata,False,True,True,worried
914,1987-01-19,1987-03-03,Andrew Gomez,Shelia Holmes,18.51957,73.85535,Pune,IN,Kolkata,False,True,False,sad
915,2021-06-18,2021-07-12,Ivan White,Ronnie Anthony,21.53889,71.57737,Gariadhar,IN,Kolkata,False,True,True,paranoid
916,1985-05-18,1985-06-26,Michael Reed,Amanda Brown,35.48199,137.02166,Minokamo,JP,Tokyo,False,False,True,silent
917,1997-02-16,1997-03-14,Heather Martin,Dennis Flores,25.6439,77.9129,Narwar,IN,Kolkata,False,False,True,sad
918,2015-12-02,2016-01-25,Justin Sanders,Lindsey Hoover,26.2649,81.54855,Jais,IN,Kolkata,False,True,True,injured
919,2006-07-30,2006-08-31,Paul Hodges,James Whitehead,14.46693,75.92694,Davangere,IN,Kolkata,False,False,True,complaining
920,2015-06-10,2015-06-17,Albert Rios,Christian Moore,35.6803,51.0193,Shahre Jadide Andisheh,IR,Tehran,False,True,True,lonely
921,1998-02-22,1998-02-27,Zachary Madden,Patricia Perez,36.81667,117.81667,Zhoucun,CN,Shanghai,False,False,True,scared
922,2014-06-29,2014-07-20,Angela Conrad,Ashley Howell,14.37395,100.48528,Bang Ban,TH,Bangkok,False,True,True,paranoid
923,2004-06-27,2004-08-24,Heather White,Nicholas Jones,22.83957,91.84128,Manikchari,BD,Dhaka,False,False,True,paranoid
924,1990-06-11,1990-07-29,Victoria Martin,Jeremy Moran,9.6531,124.3697,Jagna,PH,Manila,False,True,True,talkative
925,1996-02-04,1996-02-20,Jennifer Patrick,Patricia Edwards,-1.6,103.61667,Jambi City,ID,Jakarta,False,False,True,worried
926,2022-06-26,2022-07-09,Dennis Wagner,Matthew Young,30.24706,115.04814,Huangshi,CN,Shanghai,False,True,True,hostile
927,2015-09-11,2015-10-02,Melissa Mccann,Michael Bailey,37.19723,122.05228,Tianfu,CN,Shanghai,True,False,False,unhappy
928,1987-07-29,1987-08-26,Kevin Mahoney,Sarah Green,30.81383,75.16878,Moga,IN,Kolkata,False,False,True,fleeing
929,1985-05-14,1985-07-10,Rebecca Huff,Veronica Richards,34.56861,105.89333,Beidao,CN,Shanghai,False,False,True,out-of-control
930,1992-06-26,1992-08-07,Sarah Crawford,Emily Johns,47.46657,84.87144,Zaysan,KZ,Almaty,True,False,True,insulting
931,2010-04-22,2010-06-14,Christopher Alexander,Parker Mitchell,26.32293,91.00632,Barpeta,IN,Kolkata,False,True,True,complaining
932,2020-09-09,2020-10-12,Steven Cantrell,Jessica Duran,28.71271,77.656,Pilkhua,IN,Kolkata,False,False,True,oblivious
933,2010-07-25,2010-08-29,Dwayne Coffey,Darlene Pitts,14.62578,121.12251,Antipolo,PH,Manila,False,False,True,confessing
934,1995-02-07,1995-02-12,Destiny Herring,Kaitlyn Booker,36.64852,51.49621,Nowshahr,IR,Tehran,True,True,True,talkative
935,2010-05-14,2010-06-26,Billy Lowery,Marie Hernandez,27.55898,68.21204,Larkana,PK,Karachi,False,False,True,worried
936,2018-10-19,2018-12-08,Shawn Williams,Jennifer Malone,20.88197,85.83334,Bhuban,IN,Kolkata,False,True,True,fleeing
937,2001-11-09,2001-12-20,Taylor Smith,Jessica Duran,30.24706,115.04814,Huangshi,CN,Shanghai,False,False,True,panicking
938,2008-11-02,2008-12-27,Rhonda Arnold,Hannah Palmer,35.6803,51.0193,Shahre Jadide Andisheh,IR,Tehran,False,True,True,worried
939,2006-04-23,2006-05-27,Jennifer Ramirez,Shawn Huang,9.6531,124.3697,Jagna,PH,Manila,False,False,True,panicking
940,1991-03-16,1991-05-05,Jo Johnson,Emily Mccoy,36.21544,65.93249,Sar-e Pul,AF,Kabul,False,False,True,out-of-control
941,2005-01-13,2005-02-08,Caitlin Wood,Jason Berg,33.3213,130.94098,Hita,JP,Tokyo,False,True,True,accusatory
